PersonID,LastName,FirstName,GenderID,GenderDesc,Email,IsCurrent,LastUpdatedDate
48,מלר-הורוביץ,ירדנה,250,נקבה,,False,2015-11-16T09:33:02.47
122,פורדס,גיורא,251,זכר,,False,2020-03-23T23:33:55.387
128,לב,דוד,251,זכר,,False,2020-03-23T23:40:56.46
134,ימין,אלינור,250,נקבה,אלינור ימין,True,2020-11-19T13:43:11.277
136,קפלן,רות,250,נקבה,,False,2020-03-23T23:40:27.3
150,"שד""ר",יצחק,251,זכר,,False,2020-03-23T23:39:50.647
230,אפיק,שגית,250,נקבה,shlomite@knesset.gov.il,True,2022-01-03T18:56:28.663
326,גריף,יוסי,251,זכר,,False,2021-11-30T13:25:49.02
354,אלשטיין,נורית,250,נקבה,,False,2020-03-23T23:33:15.873
365,בדר,נאזם,251,זכר,,False,2020-03-23T23:41:29.08
405,אלון,בנימין,251,זכר,,False,2015-03-20T12:03:08
412,הנדל,צבי,251,זכר,,False,2015-03-20T12:03:08
417,זאבי,רחבעם,251,זכר,,False,2015-03-20T12:03:08
421,כהן,אליעזר,251,זכר,,False,2015-03-20T12:03:08
427,ליברמן,אביגדור,251,זכר,aliberman@knesset.gov.il,True,2022-11-10T11:19:09.323
430,שטרן,יורי,251,זכר,,False,2018-03-11T12:20:46.95
431,אביטל,קולט,250,נקבה,,False,2015-03-20T12:03:08
432,אושעיה,אפי,251,זכר,,False,2019-03-11T10:30:57.407
433,איציק,דליה,250,נקבה,,False,2015-03-20T12:03:08
434,בורג,אברהם,251,זכר,,False,2015-03-20T12:03:08
435,בן-אליעזר,בנימין,251,זכר,,False,2015-03-20T12:03:08
437,בן-מנחם,אלי,251,זכר,,False,2015-03-20T12:03:08
439,בן-עמי,שלמה,251,זכר,,False,2015-03-20T12:03:08
441,דיין,יעל,250,נקבה,,False,2015-03-20T12:03:08
442,טריף,סאלח,251,זכר,,False,2015-03-20T12:03:08
444,יחזקאל,אברהם,251,זכר,,False,2015-03-20T12:03:08
445,כבל,איתן,251,זכר,,False,2019-05-14T11:05:55.57
446,כהן,רענן,251,זכר,,False,2015-03-20T12:03:08
447,כץ,יוסי,251,זכר,,False,2015-03-20T12:03:08
448,לנדבר,סופה,250,נקבה,,False,2019-05-14T10:58:58.547
449,מלכיאור,מיכאל,251,זכר,,False,2015-03-20T12:03:08
453,מסאלחה,נואף,251,זכר,,False,2015-03-20T12:03:08
